credit_score,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
0.5053533190578158,0.5454545454545454,0.2,0.0,0.0,1.0,1.0,0.5067348931822989,1
0.4817987152034261,0.5227272727272727,0.1,0.334031478677259,0.0,0.0,1.0,0.5627087386845444,0
0.2548179871520343,0.5454545454545454,0.8,0.6363571759354565,0.8000000000000002,1.0,0.0,0.5696543519906151,1
0.6766595289079228,0.47727272727272724,0.1,0.0,0.4,0.0,0.0,0.46912005096486714,0
1.0,0.5681818181818181,0.2,0.5002462155052676,0.0,1.0,1.0,0.3954003607344502,0
0.5610278372591005,0.5909090909090908,0.8,0.45339436422174445,0.4,1.0,0.0,0.7487971601287922,1
0.9400428265524626,0.7272727272727273,0.7000000000000001,0.0,0.4,1.0,1.0,0.050260899915941966,0
0.0,0.24999999999999994,0.4,0.4585397202505608,1.0,1.0,0.0,0.5967334880481086,1
0.25267665952890794,0.5909090909090908,0.4,0.5661703921301275,0.4,0.0,1.0,0.37468038197647874,0
0.6445396145610279,0.20454545454545453,0.2,0.5364882610306042,0.0,1.0,1.0,0.3586049967771922,0
0.31049250535331907,0.29545454545454547,0.6000000000000001,0.4066062041365082,0.4,0.0,0.0,0.40088598461153035,0
0.24411134903640253,0.1363636363636363,0.30000000000000004,0.0,0.4,1.0,0.0,0.3819286241836095,0
0.19914346895074952,0.3636363636363636,1.0,0.0,0.4,1.0,0.0,0.13125953528561976,0
0.35546038543897207,0.15909090909090912,0.5,0.0,0.4,0.0,0.0,0.9543221877689319,0
0.5396145610278372,0.3863636363636364,0.7000000000000001,0.0,0.4,1.0,1.0,0.32973183939066175,0
0.4989293361884367,0.6136363636363635,0.30000000000000004,0.5704683124530762,0.4,0.0,1.0,0.32160911367035555,0
0.5781584582441114,0.909090909090909,0.1,0.5285129113577549,0.0,1.0,0.0,0.02543287883992921,1
0.35546038543897207,0.1363636363636363,0.9,0.0,0.4,1.0,1.0,0.07198102418780992,0
0.4368308351177731,0.6136363636363635,0.6000000000000001,0.0,0.0,0.0,0.0,0.7934419237037137,0
0.7344753747323342,0.1363636363636363,0.6000000000000001,0.0,0.4,1.0,1.0,0.2735883776900694,0
0.7473233404710921,0.5227272727272727,0.8,0.0,0.4,1.0,1.0,0.8544545504095641,0
0.5417558886509636,0.3181818181818182,0.8,0.0,0.4,1.0,0.0,0.6927855610210775,0
0.2719486081370449,0.45454545454545453,0.4,0.0,0.0,1.0,0.0,0.5945665311037204,1
0.6124197002141328,0.6363636363636362,0.30000000000000004,0.0,0.4,0.0,1.0,0.04238489775773586,0
0.9914346895074947,0.45454545454545453,0.5,0.0,0.0,1.0,1.0,0.9381124897427704,0
0.41541755888650955,0.15909090909090912,0.30000000000000004,0.0,0.4,0.0,1.0,0.6225430028567728,0
0.7987152034261241,0.4090909090909091,0.2,0.5453036330408096,0.0,1.0,1.0,0.8502330472560129,0
0.40256959314775165,0.5909090909090908,0.9,0.0,0.4,0.0,0.0,0.19212719814742305,0
0.4089935760171307,0.5681818181818181,0.30000000000000004,0.5633738782148561,0.0,1.0,1.0,0.5009270885369552,0
0.05995717344753748,0.24999999999999994,0.0,0.23793393564693938,0.4,1.0,1.0,0.26738368514193106,0
0.4453961456102783,0.47727272727272724,0.30000000000000004,0.0,0.8000000000000002,1.0,0.0,0.702356075005163,1
0.3211991434689506,0.4090909090909091,0.7000000000000001,0.3400253066892618,0.0,0.0,1.0,0.7836764911049005,0
0.3640256959314775,0.5227272727272727,0.9,0.43887356814872525,0.4,0.0,0.0,0.40947525488684167,0
0.29336188436830823,0.5454545454545454,0.6000000000000001,0.0,0.4,1.0,1.0,0.17201127707696084,0
